# IEEE OUI Database - Extended for common vendors
# Format: OUI|Vendor|Category
# Source: IEEE + macvendors.com

# Apple
001A11|Apple|phone
001B63|Apple|phone
001CB3|Apple|phone
001E52|Apple|phone
001FF3|Apple|phone
0021E9|Apple|phone
002312|Apple|phone
002436|Apple|phone
002500|Apple|phone
002608|Apple|phone
00264A|Apple|phone
003065|Apple|phone
0050E4|Apple|phone
00A040|Apple|phone
00CD27|Apple|phone
041E64|Apple|phone
086D41|Apple|phone
0C4D60|Apple|phone
1093E9|Apple|phone
10DD1B|Apple|phone
1458F0|Apple|phone
14BD61|Apple|phone
14F725|Apple|phone
18AF67|Apple|phone
1C1A68|Apple|phone
1C36BB|Apple|phone
1CABA7|Apple|phone
20C9D0|Apple|phone
24A07E|Apple|phone
24E314|Apple|phone
28E01F|Apple|phone
28E7CF|Apple|phone
2C335A|Apple|phone
2C8493|Apple|phone
2CBE08|Apple|phone
300D43|Apple|phone
30D7B5|Apple|phone
3436B1|Apple|phone
34E2FD|Apple|phone
38C9D6|Apple|phone
3C0754|Apple|phone
3C2E3F|Apple|phone
3C2EF0|Apple|phone
3C8376|Apple|phone
3CA10F|Apple|phone
40309B|Apple|phone
40A6D9|Apple|phone
40B395|Apple|phone
44D884|Apple|phone
44FB42|Apple|phone
4843F0|Apple|phone
48A195|Apple|phone
4C7C5F|Apple|phone
4C8B30|Apple|phone
50326B|Apple|phone
50BC96|Apple|phone
540AC0|Apple|phone
5488F3|Apple|phone
54ED43|Apple|phone
581FAA|Apple|phone
584010|Apple|phone
58B035|Apple|phone
5C5948|Apple|phone
5CF267|Apple|phone
5FE2A1|Apple|phone
60334B|Apple|phone
60A10A|Apple|phone
60C547|Apple|phone
60F81D|Apple|phone
6400D7|Apple|phone
647A50|Apple|phone
68A86D|Apple|phone
68DBCA|Apple|phone
68FEF7|Apple|phone
6C012B|Apple|phone
6C4D73|Apple|phone
6C709F|Apple|phone
6C94B6|Apple|phone
703E97|Apple|phone
70483A|Apple|phone
